iter	Passed	Remaining
240	1722	5423
241	1729	5415
242	1736	5408
243	1743	5402
244	1751	5396
245	1758	5389
246	1765	5382
247	1772	5375
248	1779	5367
249	1786	5358
250	1792	5350
251	1799	5341
252	1806	5333
253	1813	5326
254	1820	5318
255	1827	5312
256	1835	5305
257	1842	5298
258	1849	5292
259	1856	5284
260	1864	5279
261	1871	5271
262	1878	5265
263	1885	5257
264	1892	5250
265	1899	5242
266	1907	5235
267	1913	5227
268	1920	5219
269	1927	5212
270	1934	5203
271	1941	5197
272	1948	5189
273	1956	5183
274	1963	5176
275	1970	5169
276	1977	5162
277	1985	5155
278	1991	5147
279	1999	5140
280	2005	5131
281	2012	5123
282	2019	5116
283	2027	5110
284	2034	5103
285	2041	5096
286	2048	5088
287	2055	5080
288	2062	5074
289	2069	5067
290	2076	5060
291	2083	5052
292	2091	5046
293	2098	5039
294	2105	5032
295	2112	5024
296	2120	5019
297	2127	5012
298	2134	5004
299	2141	4997
300	2148	4990
301	2156	4983
302	2163	4975
303	2170	4970
304	2177	4962
305	2184	4954
306	2191	4947
307	2198	4939
308	2205	4932
309	2212	4924
310	2228	4937
311	2234	4927
312	2240	4917
313	2246	4908
314	2253	4900
315	2260	4891
316	2266	4882
317	2273	4874
318	2279	4866
319	2291	4868
320	2297	4858
321	2303	4849
322	2309	4840
323	2315	4830
324	2321	4822
325	2327	4813
326	2335	4806
327	2341	4798
328	2348	4790
329	2355	4782
330	2361	4773
331	2369	4766
332	2376	4759
333	2383	4752
334	2389	4744
335	2397	4737
336	2403	4728
337	2410	4720
338	2417	4714
339	2424	4706
340	2431	4699
341	2438	4691
342	2445	4684
343	2453	4678
344	2460	4671
345	2467	4663
346	2474	4656
347	2482	4650
348	2489	4643
349	2496	4635
350	2503	4628
351	2509	4619
352	2529	4636
353	2537	4630
354	2545	4624
355	2552	4616
356	2557	4606
357	2563	4597
358	2568	4586
359	2575	4577
360	2581	4568
361	2587	4560
362	2593	4551
363	2601	4544
364	2608	4538
365	2616	4532
366	2622	4524
367	2629	4516
368	2636	4508
369	2644	4502
370	2651	4495
371	2658	4488
372	2666	4481
373	2672	4474
374	2680	4468
375	2688	4461
376	2695	4454
377	2702	4447
378	2709	4439
379	2716	4432
380	2723	4424
381	2730	4416
382	2737	4409
383	2744	4402
384	2751	4394
385	2758	4387
386	2765	4380
387	2772	4373
388	2779	4366
389	2787	4359
390	2794	4352
391	2801	4344
392	2809	4339
393	2816	4331
394	2823	4324
395	2829	4316
396	2836	4308
397	2843	4301
398	2851	4294
399	2858	4287
400	2865	4280
401	2873	4274
402	2881	4268
403	2888	4261
404	2896	4255
405	2914	4264
406	2921	4256
407	2926	4246
408	2932	4237
409	2938	4228
410	2944	4220
411	2951	4212
412	2958	4205
413	2966	4198
414	2973	4190
415	2979	4182
416	2986	4175
417	2993	4167
418	3000	4160
419	3007	4153
420	3013	4144
421	3020	4136
422	3027	4129
423	3034	4122
424	3041	4114
425	3048	4107
426	3055	4099
427	3061	4092
428	3069	4085
429	3076	4078
430	3084	4071
431	3091	4064
432	3098	4057
433	3105	4050
434	3112	4042
435	3119	4035
436	3125	4027
437	3132	4019
438	3139	4012
439	3147	4005
440	3154	3998
441	3161	3991
442	3169	3984
443	3175	3977
444	3182	3969
445	3190	3963
446	3198	3957
447	3205	3949
448	3212	3942
449	3219	3935
450	3226	3928
451	3233	3920
452	3240	3913
453	3247	3905
454	3254	3898
455	3262	3891
456	3268	3883
457	3276	3877
458	3283	3869
459	3290	3862
460	3297	3855
461	3304	3847
462	3327	3858
463	3334	3851
464	3340	3843
465	3347	3835
466	3352	3826
467	3357	3816
468	3362	3807
469	3368	3798
470	3375	3790
471	3381	3782
472	3388	3775
473	3396	3768
474	3403	3761
475	3410	3754
476	3417	3747
477	3424	3740
478	3431	3732
479	3438	3724
480	3445	3717
481	3452	3710
482	3459	3703
483	3466	3695
484	3474	3688
485	3480	3681
486	3488	3674
487	3495	3667
488	3501	3659
489	3509	3652
490	3516	3645
491	3522	3637
492	3529	3629
493	3535	3621
494	3543	3614
495	3549	3606
496	3556	3599
497	3563	3592
498	3571	3585
499	3578	3578
500	3585	3571
501	3593	3564
502	3600	3557
503	3607	3550
504	3613	3542
505	3621	3535
506	3628	3528
507	3634	3520
508	3641	3512
509	3648	3505
510	3655	3498
511	3662	3490
512	3669	3483
513	3676	3476
514	3683	3469
515	3690	3462
516	3697	3454
517	3705	3447
518	3712	3440
519	3719	3433
520	3726	3426
521	3733	3418
522	3740	3411
523	3747	3404
524	3754	3397
525	3761	3389
526	3768	3382
527	3775	3375
528	3783	3368
529	3790	3361
530	3796	3353
531	3803	3345
532	3810	3338
533	3817	3331
534	3824	3324
535	3831	3316
536	3838	3309
537	3844	3301
538	3851	3294
539	3858	3286
540	3865	3279
541	3873	3272
542	3880	3265
543	3886	3258
544	3894	3251
545	3901	3244
546	3909	3237
547	3916	3230
548	3923	3223
549	3930	3215
550	3936	3207
551	3942	3199
552	3949	3192
553	3956	3185
554	3963	3178
555	3970	3170
556	3978	3164
557	3985	3157
558	3993	3150
559	4000	3143
560	4007	3135
561	4014	3128
562	4020	3121
563	4027	3113
564	4034	3106
565	4041	3098
566	4048	3091
567	4055	3084
568	4062	3077
569	4069	3070
570	4076	3062
571	4084	3056
572	4092	3049
573	4098	3042
574	4105	3034
575	4113	3027
576	4121	3021
577	4131	3016
578	4138	3009
579	4144	3001
580	4152	2994
581	4158	2986
582	4165	2979
583	4173	2973
584	4180	2965
585	4188	2958
586	4194	2951
587	4202	2944
588	4209	2937
589	4216	2930
590	4224	2923
591	4231	2916
592	4238	2908
593	4244	2901
594	4251	2893
595	4258	2886
596	4265	2879
597	4272	2872
598	4279	2865
599	4286	2857
600	4294	2850
601	4301	2843
602	4308	2836
603	4314	2828
604	4322	2821
605	4328	2814
606	4335	2806
607	4341	2799
608	4348	2791
609	4355	2784
610	4362	2777
611	4377	2775
612	4384	2767
613	4390	2760
614	4397	2752
615	4405	2746
616	4411	2738
617	4423	2734
618	4429	2726
619	4436	2718
620	4442	2711
621	4448	2703
622	4455	2696
623	4461	2688
624	4468	2681
625	4475	2673
626	4482	2666
627	4490	2659
628	4497	2652
629	4504	2645
630	4512	2638
631	4520	2631
632	4527	2625
633	4534	2617
634	4541	2610
635	4548	2602
636	4554	2595
637	4562	2588
638	4569	2581
639	4576	2574
640	4583	2566
641	4589	2559
642	4597	2552
643	4604	2545
644	4611	2538
645	4618	2531
646	4626	2523
647	4633	2517
648	4640	2509
649	4647	2502
650	4654	2495
651	4661	2488
652	4668	2480
653	4676	2473
654	4682	2466
655	4689	2459
656	4696	2452
657	4703	2444
658	4710	2437
659	4717	2430
660	4725	2423
661	4731	2416
662	4739	2409
663	4746	2401
664	4752	2394
665	4759	2387
666	4766	2379
667	4774	2372
668	4781	2365
669	4787	2358
670	4794	2350
671	4801	2343
672	4808	2336
673	4815	2329
674	4822	2321
675	4829	2314
676	4836	2307
677	4844	2300
678	4851	2293
679	4858	2286
680	4865	2279
681	4873	2272
682	4880	2265
683	4887	2257
684	4894	2250
685	4901	2243
686	4908	2236
687	4915	2228
688	4922	2221
689	4929	2214
690	4936	2207
691	4943	2200
692	4950	2192
693	4961	2187
694	4968	2180
695	4974	2172
696	4981	2165
697	4987	2158
698	4994	2150
699	5001	2143
700	5007	2136
701	5014	2128
702	5023	2122
703	5029	2114
704	5036	2107
705	5043	2100
706	5051	2093
707	5057	2085
708	5064	2078
709	5082	2075
710	5089	2068
711	5095	2061
712	5103	2054
713	5111	2047
714	5119	2040
715	5128	2034
716	5137	2027
717	5145	2020
718	5155	2014
719	5163	2007
720	5171	2001
721	5179	1994
722	5186	1987
723	5193	1979
724	5201	1972
725	5208	1965
726	5215	1958
727	5222	1951
728	5229	1944
729	5236	1936
730	5243	1929
731	5251	1922
732	5257	1915
733	5265	1908
734	5272	1900
735	5285	1895
736	5290	1888
737	5297	1880
738	5303	1873
739	5310	1865
740	5317	1858
741	5324	1851
742	5331	1844
743	5338	1836
744	5347	1830
745	5354	1823
746	5362	1816
747	5369	1808
748	5376	1801
749	5384	1794
750	5391	1787
751	5398	1780
752	5406	1773
753	5414	1766
754	5422	1759
755	5430	1752
756	5437	1745
757	5445	1738
758	5452	1731
759	5460	1724
760	5467	1717
761	5479	1711
762	5485	1704
763	5492	1696
764	5499	1689
765	5506	1681
766	5513	1674
767	5520	1667
768	5528	1660
769	5535	1653
770	5544	1646
771	5552	1639
772	5560	1632
773	5568	1625
774	5577	1619
775	5586	1612
776	5607	1609
777	5614	1601
778	5621	1594
779	5628	1587
780	5642	1582
781	5666	1579
782	5674	1572
783	5682	1565
784	5689	1558
785	5696	1550
786	5702	1543
787	5709	1536
788	5715	1528
789	5723	1521
790	5730	1514
791	5738	1506
792	5745	1499
793	5752	1492
794	5759	1485
795	5767	1477
796	5773	1470
797	5781	1463
798	5788	1456
799	5796	1449
800	5803	1441
801	5810	1434
802	5816	1427
803	5823	1419
804	5831	1412
805	5838	1405
806	5845	1397
807	5853	1390
808	5860	1383
809	5868	1376
810	5875	1369
811	5882	1361
812	5890	1354
813	5899	1347
814	5905	1340
815	5911	1333
816	5918	1325
817	5924	1318
818	5932	1310
819	5938	1303
820	5946	1296
821	5953	1289
822	5960	1282
823	5968	1274
824	5975	1267
825	5982	1260
826	5989	1252
827	5996	1245
828	6003	1238
829	6010	1231
830	6016	1223
831	6024	1216
832	6030	1209
833	6038	1201
834	6045	1194
835	6053	1187
836	6060	1180
837	6067	1172
838	6074	1165
839	6081	1158
840	6088	1151
841	6096	1143
842	6102	1136
843	6109	1129
844	6116	1121
845	6123	1114
846	6130	1107
847	6137	1100
848	6145	1092
849	6152	1085
850	6160	1078
851	6167	1071
852	6174	1064
853	6182	1056
854	6188	1049
855	6196	1042
856	6203	1035
857	6209	1027
858	6217	1020
859	6224	1013
860	6232	1006
861	6239	998
862	6247	991
863	6254	984
864	6261	977
865	6268	969
866	6276	962
867	6283	955
868	6289	948
869	6296	940
870	6303	933
871	6311	926
872	6317	919
873	6325	911
874	6332	904
875	6339	897
876	6346	890
877	6353	882
878	6361	875
879	6368	868
880	6376	861
881	6383	853
882	6390	846
883	6397	839
884	6405	832
885	6411	825
886	6418	817
887	6425	810
888	6432	803
889	6448	797
890	6454	789
891	6460	782
892	6466	774
893	6474	767
894	6481	760
895	6487	753
896	6494	745
897	6501	738
898	6508	731
899	6515	723
900	6523	716
901	6530	709
902	6537	702
903	6544	695
904	6551	687
905	6559	680
906	6566	673
907	6574	666
908	6581	658
909	6589	651
910	6595	644
911	6603	637
912	6610	629
913	6617	622
914	6623	615
915	6631	608
916	6638	600
917	6645	593
918	6652	586
919	6659	579
920	6667	571
921	6674	564
922	6681	557
923	6689	550
924	6696	542
925	6703	535
926	6711	528
927	6718	521
928	6724	513
929	6731	506
930	6738	499
931	6746	492
932	6753	484
933	6759	477
934	6766	470
935	6773	463
936	6779	455
937	6787	448
938	6794	441
939	6801	434
940	6808	426
941	6816	419
942	6822	412
943	6830	405
944	6836	397
945	6844	390
946	6851	383
947	6858	376
948	6865	368
949	6872	361
950	6880	354
951	6887	347
952	6894	340
953	6901	332
954	6908	325
955	6916	318
956	6922	311
957	6929	303
958	6936	296
959	6944	289
960	6951	282
961	6959	274
962	6965	267
963	6973	260
964	6981	253
965	6988	245
966	6995	238
967	7002	231
968	7008	224
969	7016	216
970	7023	209
971	7031	202
972	7038	195
973	7045	188
974	7052	180
975	7061	173
976	7068	166
977	7075	159
978	7082	151
979	7090	144
980	7097	137
981	7104	130
982	7111	122
983	7119	115
984	7126	108
985	7133	101
986	7140	94
987	7147	86
988	7155	79
989	7162	72
990	7180	65
991	7185	57
992	7192	50
993	7199	43
994	7205	36
995	7212	28
996	7219	21
997	7227	14
998	7234	7
999	7241	0
