iter	Passed	Remaining
0	8	8723
1	16	8225
2	24	8273
3	32	8128
4	39	7945
5	46	7741
6	53	7604
7	60	7538
8	67	7475
9	75	7446
10	82	7392
11	89	7332
12	96	7344
13	104	7380
14	112	7358
15	119	7332
16	126	7289
17	133	7284
18	140	7260
19	148	7252
20	155	7237
21	162	7210
22	168	7166
23	175	7137
24	183	7149
25	190	7119
26	197	7103
27	204	7094
28	211	7091
29	219	7086
30	225	7063
31	232	7045
32	240	7039
33	247	7041
34	255	7034
35	262	7024
36	269	7016
37	277	7013
38	283	6993
39	290	6981
40	298	6993
41	306	6982
42	313	6972
43	320	6958
44	327	6944
45	334	6941
46	341	6928
47	348	6919
48	355	6908
49	362	6893
50	369	6880
51	377	6886
52	384	6865
53	390	6848
54	398	6841
55	405	6827
56	412	6831
57	419	6813
58	426	6803
59	433	6789
60	440	6780
61	447	6768
62	454	6754
63	461	6748
64	468	6736
65	475	6726
66	482	6714
67	489	6706
68	496	6702
69	503	6692
70	510	6683
71	517	6671
72	524	6665
73	532	6663
74	539	6650
75	546	6642
76	553	6630
77	560	6623
78	567	6613
79	575	6617
80	582	6612
81	590	6606
82	597	6602
83	605	6598
84	623	6709
85	628	6680
86	634	6658
87	640	6638
88	646	6619
89	653	6604
90	659	6588
91	666	6574
92	673	6564
93	680	6556
94	687	6553
95	694	6543
96	702	6539
97	709	6532
98	717	6529
99	725	6526
100	732	6519
101	739	6512
102	746	6505
103	753	6495
104	760	6479
105	767	6472
106	774	6463
107	781	6454
108	788	6444
109	794	6431
110	802	6425
111	809	6417
112	816	6409
113	823	6401
114	830	6392
115	838	6387
116	845	6380
117	853	6379
118	860	6367
119	867	6361
120	874	6349
121	880	6337
122	888	6332
123	894	6319
124	901	6312
125	908	6300
126	915	6295
127	923	6292
128	931	6286
129	938	6279
130	945	6271
131	952	6260
132	958	6247
133	965	6238
134	972	6228
135	979	6220
136	985	6209
137	992	6200
138	1000	6196
139	1007	6188
140	1014	6180
141	1021	6174
142	1029	6168
143	1036	6163
144	1044	6156
145	1051	6150
146	1058	6141
147	1064	6130
148	1071	6121
149	1079	6116
150	1086	6110
151	1093	6100
152	1100	6089
153	1106	6079
154	1115	6079
155	1121	6068
156	1128	6060
157	1135	6049
158	1141	6039
159	1148	6032
160	1156	6024
161	1163	6016
162	1169	6006
163	1177	5999
164	1184	5993
165	1191	5984
166	1198	5976
167	1205	5967
168	1212	5960
169	1219	5952
170	1226	5943
171	1232	5932
172	1239	5925
173	1246	5917
174	1253	5907
175	1260	5899
176	1266	5890
177	1273	5881
178	1280	5873
179	1287	5865
180	1293	5854
181	1301	5847
182	1308	5840
183	1314	5830
184	1321	5821
185	1328	5814
186	1335	5807
187	1343	5801
188	1350	5793
189	1358	5791
190	1365	5783
191	1372	5776
192	1380	5773
193	1389	5772
194	1396	5763
195	1403	5759
196	1411	5751
197	1419	5747
198	1426	5741
199	1433	5735
200	1442	5733
201	1450	5729
202	1457	5721
203	1464	5714
204	1472	5708
205	1478	5699
206	1485	5692
207	1492	5682
208	1498	5672
209	1506	5666
210	1513	5658
211	1520	5650
212	1527	5642
213	1534	5634
214	1541	5626
215	1547	5618
216	1555	5613
217	1562	5605
218	1569	5596
219	1576	5588
220	1583	5581
221	1590	5572
222	1596	5564
223	1604	5558
224	1611	5549
225	1618	5542
226	1624	5533
227	1632	5527
228	1639	5518
229	1645	5509
230	1652	5502
231	1659	5493
232	1667	5488
233	1673	5479
234	1681	5473
235	1688	5464
236	1694	5456
237	1701	5449
238	1708	5439
239	1715	5431
