iter	RMSE
0	8298.375637
1	8013.860585
2	7763.830779
3	7545.337572
4	7310.022464
5	7083.370102
6	6893.586889
7	6705.883388
8	6543.032376
9	6369.588976
10	6231.339939
11	6086.534439
12	5947.493307
13	5818.515852
14	5698.62991
15	5586.156858
16	5487.471338
17	5383.406474
18	5297.157946
19	5206.009352
20	5121.422428
21	5051.410113
22	4986.484161
23	4928.964871
24	4866.511744
25	4806.360704
26	4750.608035
27	4701.662788
28	4653.063532
29	4611.408342
30	4567.618506
31	4527.648408
32	4487.417829
33	4455.787859
34	4423.471507
35	4392.923571
36	4363.267217
37	4333.375919
38	4305.314443
39	4282.139191
40	4255.980203
41	4231.051906
42	4208.665395
43	4184.395551
44	4162.776544
45	4144.399739
46	4123.31101
47	4104.895717
48	4084.023786
49	4066.750786
50	4049.706313
51	4036.634878
52	4018.888121
53	4003.626375
54	3990.73324
55	3975.267814
56	3965.709737
57	3956.592985
58	3942.648778
59	3931.843314
60	3923.414298
61	3914.534133
62	3902.479698
63	3889.568753
64	3874.471706
65	3862.296492
66	3853.188578
67	3842.807991
68	3835.281454
69	3825.259125
70	3816.281341
71	3807.194891
72	3798.779874
73	3790.961373
74	3782.831312
75	3772.270898
76	3763.833594
77	3760.306531
78	3751.024092
79	3742.035134
80	3734.127545
81	3725.148796
82	3715.926124
83	3710.906122
84	3703.936106
85	3698.208659
86	3696.648584
87	3688.788119
88	3684.901238
89	3677.5695
90	3672.947903
91	3664.495242
92	3658.890108
93	3652.887786
94	3646.873809
95	3639.773792
96	3634.343483
97	3631.372644
98	3627.940386
99	3618.448591
100	3613.319151
101	3608.896971
102	3603.776055
103	3601.274035
104	3596.591685
105	3592.469774
106	3586.996451
107	3585.94091
108	3581.550022
109	3577.985815
110	3575.085806
111	3572.568866
112	3568.310084
113	3563.499673
114	3558.132121
115	3552.940011
116	3546.450757
117	3542.438155
118	3537.295047
119	3533.667197
120	3525.699911
121	3518.170269
122	3511.971795
123	3506.834797
124	3500.39396
125	3491.54449
126	3485.513069
127	3484.09539
128	3478.637959
129	3473.45218
130	3470.734823
131	3468.633355
132	3464.981255
133	3459.374746
134	3457.77159
135	3455.303784
136	3453.292371
137	3451.325292
138	3446.457676
139	3440.28241
140	3437.893347
141	3432.74105
142	3429.45961
143	3424.422645
144	3417.8969
145	3411.650933
146	3406.6934
147	3398.425615
148	3392.891747
149	3385.988101
150	3385.345712
151	3384.248867
152	3381.380906
153	3378.524201
154	3377.581991
155	3373.494179
156	3366.438235
157	3362.728204
158	3356.413984
159	3350.215218
160	3344.9657
161	3342.135671
162	3337.3006
163	3331.514262
164	3326.124642
165	3319.589145
166	3313.861773
167	3311.245829
168	3308.116119
169	3305.389246
170	3301.191707
171	3296.094497
172	3288.626707
173	3283.806118
174	3276.420801
175	3274.349478
176	3272.717528
177	3267.031306
178	3263.599083
179	3258.369805
180	3253.787852
181	3248.447613
182	3246.464021
183	3242.176948
184	3236.809409
185	3230.420714
186	3224.352529
187	3219.038114
188	3214.319713
189	3209.09718
190	3202.886317
191	3199.804662
192	3196.348717
193	3191.58953
194	3189.724192
195	3183.949851
196	3183.620854
197	3176.429753
198	3170.222119
199	3168.327036
200	3162.694397
201	3157.608264
202	3153.603381
203	3150.816839
204	3146.51487
205	3143.352107
206	3139.664812
207	3137.062622
208	3132.177819
209	3126.992052
210	3123.705844
211	3117.328654
212	3111.625425
213	3107.775674
214	3107.508397
215	3106.815346
216	3106.247848
217	3104.056546
218	3098.914282
219	3098.620634
220	3094.698649
221	3091.222395
222	3088.475067
223	3085.679481
224	3080.257455
225	3075.810438
226	3071.838127
227	3066.317963
228	3064.172365
229	3060.17275
230	3056.649929
231	3053.82175
232	3051.243965
233	3045.084868
234	3041.146439
235	3036.656898
236	3033.92182
237	3030.02348
238	3024.166181
239	3019.229759
240	3015.088213
241	3009.510756
242	3002.292418
243	2999.154428
244	2994.440405
245	2990.050358
246	2985.463289
247	2983.531977
248	2979.499619
249	2975.084951
250	2970.845717
251	2966.683337
252	2962.850382
253	2957.863541
254	2953.84905
255	2952.283914
256	2947.285378
257	2942.351849
258	2942.052209
259	2939.028506
260	2935.556056
261	2929.567013
262	2927.587802
263	2927.274868
264	2922.076789
265	2918.019005
266	2915.387976
267	2912.93095
268	2909.222121
269	2908.905919
270	2904.623948
271	2899.583887
272	2899.284668
273	2895.196312
274	2890.819269
275	2888.084505
276	2883.925789
277	2879.499896
278	2874.388243
279	2871.157625
280	2868.660712
281	2865.213863
282	2861.31485
283	2857.47036
284	2853.692775
285	2850.61366
286	2846.225003
287	2842.581318
288	2839.085467
289	2838.749072
290	2832.766366
291	2828.689417
292	2825.042061
293	2822.411821
294	2819.92465
295	2816.163728
296	2812.309325
297	2809.795833
298	2807.296505
299	2802.854285
300	2799.408327
301	2795.895075
302	2793.767105
303	2791.41052
304	2789.301362
305	2784.485077
306	2780.175651
307	2777.477479
308	2773.643504
309	2769.955235
310	2766.783665
311	2764.14506
312	2760.284886
313	2756.346008
314	2753.637981
315	2752.745517
316	2748.406581
317	2747.624788
318	2744.377898
319	2742.742082
320	2739.214286
321	2735.35626
322	2732.178066
323	2730.522966
324	2727.258023
325	2724.888791
326	2721.537753
327	2717.763168
328	2715.209948
329	2714.86837
330	2711.750613
331	2711.506003
332	2708.776612
333	2706.827557
334	2704.245269
335	2703.477355
336	2701.303486
337	2695.429804
338	2692.783577
339	2689.965361
340	2685.269872
341	2681.567661
342	2678.995462
343	2677.160137
344	2674.350531
345	2671.330544
346	2666.801303
347	2663.871999
348	2661.691004
349	2658.106523
350	2655.64873
351	2654.882472
352	2654.677916
353	2652.850367
354	2649.523335
355	2646.745408
356	2643.925601
357	2640.881546
358	2640.25923
359	2638.404127
360	2636.449253
361	2632.650131
362	2629.494643
363	2626.568747
364	2622.58895
365	2618.270862
366	2615.7734
367	2611.632374
368	2609.091074
369	2604.555119
370	2601.287566
371	2599.357882
372	2597.692752
373	2595.265614
374	2591.174804
375	2589.265403
376	2588.30235
377	2586.102913
378	2582.609329
379	2578.68043
380	2575.607034
381	2572.866547
382	2568.979308
383	2566.994736
384	2564.857509
385	2562.366375
386	2560.267363
387	2557.674923
388	2557.511321
389	2557.347408
390	2556.363708
391	2553.43955
392	2550.949507
393	2547.436497
394	2541.883498
395	2538.267601
396	2535.050539
397	2532.427468
398	2529.754229
399	2527.776987
400	2524.237023
401	2522.252813
402	2519.232661
403	2518.009891
404	2515.74786
405	2513.442163
406	2510.530819
407	2508.380627
408	2505.37797
409	2502.56344
410	2500.319824
411	2497.912473
412	2496.727658
413	2494.344425
414	2492.199648
415	2489.365048
416	2486.974142
417	2483.848236
418	2481.282735
419	2478.920096
420	2478.779125
421	2478.598492
422	2478.353229
423	2478.1847
424	2477.094515
425	2474.045634
426	2473.423456
427	2473.316332
428	2473.18969
429	2470.593334
430	2468.209678
431	2465.850733
432	2463.042539
433	2462.886955
434	2461.26252
435	2460.674378
436	2459.61764
437	2457.629988
438	2455.751297
439	2453.57853
440	2453.443977
441	2450.054762
442	2446.833023
443	2443.763364
444	2440.586741
445	2438.199096
446	2438.048847
447	2436.549055
448	2436.385885
449	2433.693087
450	2431.057802
451	2428.150312
452	2425.341979
453	2424.17031
454	2422.770194
455	2420.747669
456	2419.229214
457	2415.594373
458	2413.606817
459	2409.645975
460	2408.419861
461	2406.39994
462	2403.449439
463	2400.899515
464	2400.782863
465	2400.535109
466	2397.771749
467	2394.474203
468	2393.296024
469	2392.139947
470	2390.287009
471	2387.81958
472	2385.32999
473	2383.665124
474	2380.58035
475	2377.035712
476	2375.433628
477	2375.325065
478	2372.988894
479	2370.91513
480	2368.311316
481	2365.817065
482	2362.861041
483	2360.230258
484	2360.096469
485	2357.412882
486	2357.151779
487	2354.700577
488	2351.940233
489	2350.66131
490	2349.466201
491	2347.159753
492	2345.211805
493	2340.728591
494	2338.844851
495	2337.836645
496	2337.703584
497	2336.36448
498	2334.211924
499	2332.118183
500	2329.111175
501	2329.024197
502	2326.134445
503	2323.913397
504	2321.732519
505	2319.407556
506	2317.653392
507	2315.333606
508	2313.399254
509	2311.007347
510	2306.833916
511	2305.642703
512	2304.424583
513	2300.910545
514	2298.235576
515	2296.419631
516	2293.938909
517	2291.048636
518	2289.526508
519	2287.692533
520	2285.355558
521	2282.825443
522	2280.390767
